!SIL 1.0	SIL
A 1.0	A
premacaMxa 1.0	p r e m a c a M x a
prerNA 1.0	p r e r N A
preriwa 1.0	p r e r i w a
presa 1.0	p r e s a
presaTa 1.0	p r e s a T a
preslara 1.0	p r e s l a r a
pressa 1.0	p r e s s a
priMta 1.0	p r i M t a
pritorIyA 1.0	p r i t o r I y A
priya 1.0	p r i y a
priyawama 1.0	p r i y a w a m a
proPessara 1.0	p r o P e s s a r a
progrAmiMga 1.0	p r o g r A m i M g a
prowsAhiwa 1.0	p r o w s A h i w a
prsAraNa 1.0	p r s A r a N a
puMja 1.0	p u M j a
puNyawiWi 1.0	p u N y a w i W i
puRTi 1.0	p u R T i
puRpAFjalI 1.0	p u R p A F j a l I
puRpa 1.0	p u R p a
puRtI 1.0	p u R t I
puRti 1.0	p u R t i
pula 1.0	p u l a
pulisa 1.0	p u l i s a
pulisne 1.0	p u l i s n e
punIwa 1.0	p u n I w a
punarnirmANa 1.0	p u n a r n i r m A N a
punarvAsa 1.0	p u n a r v A s a
puni 1.0	p u n i
purA 1.0	p u r A
purANa 1.0	p u r A N a
purANoM 1.0	p u r A N o M
purAlWAma 1.0	p u r A l W A m a
purAnA 1.0	p u r A n A
purAne 1.0	p u r A n e
purAwana 1.0	p u r A w a n a
purI 1.0	p u r I
purNa 1.0	p u r N a
purRo 1.0	p u r R o
purRoM 1.0	p u r R o M
puraskAra 1.0	p u r a s k A r a
pure 1.0	p u r e
puri 1.0	p u r i
purna 1.0	p u r n a
purpAyara 1.0	p u r p A y a r a
purvI 1.0	p u r v I
purva 1.0	p u r v a
purvi 1.0	p u r v i
puryAwIka 1.0	p u r y A w I k a
puswaka 1.0	p u s w a k a
puswakeM 1.0	p u s w a k e M
puswakoM 1.0	p u s w a k o M
puwAnA 1.0	p u w A n A
puwlA 1.0	p u w l A
puwra 1.0	p u w r a
pyArA 1.0	p y A r A
pyAra 1.0	p y A r a
qRi 1.0	q R i
qgvexa 1.0	q g v e x a
qwu 1.0	q w u
rAIPala 1.0	r A I P a l a
rAIPaloM 1.0	r A I P a l o M
rAIPalsa 1.0	r A I P a l s a
rAKA 1.0	r A K A
rAKi 1.0	r A K i
rARpawi 1.0	r A R p a w i
rARta 1.0	r A R t a
rARtpawi 1.0	r A R t p a w i
rARtrI 1.0	r A R t r I
rARtrIya 1.0	r A R t r I y a
rARtra 1.0	r A R t r a
rARtrapawI 1.0	r A R t r a p a w I
rARtrapawi 1.0	r A R t r a p a w i
rARtrapwi 1.0	r A R t r a p w i
rARtravAxI 1.0	r A R t r a v A x I
rARtriya 1.0	r A R t r i y a
rARtya 1.0	r A R t y a
rASI 1.0	r A S I
rASi 1.0	r A S i
rASwroM 1.0	r A S w r o M
rATOra 1.0	r A T O r a
rAU 1.0	r A U
rAXA 1.0	r A X A
rAda 1.0	r A d a
rAhA 1.0	r A h A
rAhI 1.0	r A h I
rAhawa 1.0	r A h a w a
rAhu 1.0	r A h u
rAiPalsa 1.0	r A i P a l s a
rAjA 1.0	r A j A
rAjI 1.0	r A j I
rAjIva 1.0	r A j I v a
rAjIyAbAxa 1.0	r A j I y A b A x a
rAjXAnI 1.0	r A j X A n I
rAjXAnIka 1.0	r A j X A n I k a
rAjXAni 1.0	r A j X A n i
rAjZI 1.0	r A j Z I
rAja 1.0	r A j a
rAjaBARA 1.0	r A j a B A R A
rAjaSAhI 1.0	r A j a S A h I
rAjaXAnI 1.0	r A j a X A n I
rAjakumAra 1.0	r A j a k u m A r a
rAjamArga 1.0	r A j a m A r g a
rAjanEwika 1.0	r A j a n E w i k a
rAjanIwI 1.0	r A j a n I w I
rAjanIwi 1.0	r A j a n I w i
rAjanOwika 1.0	r A j a n O w i k a
rAjanayika 1.0	r A j a n a y i k a
rAjasWAna 1.0	r A j a s W A n a
rAjawanwra 1.0	r A j a w a n w r a
rAjawika 1.0	r A j a w i k a
rAjenxa 1.0	r A j e n x a
rAjenxra 1.0	r A j e n x r a
rAjgopAlane 1.0	r A j g o p A l a n e
rAjkota 1.0	r A j k o t a
rAjmArga 1.0	r A j m A r g a
rAjnAWa 1.0	r A j n A W a
rAjnEka 1.0	r A j n E k a
rAjnEwika 1.0	r A j n E w i k a
rAjnIwI 1.0	r A j n I w I
rAjnIyaka 1.0	r A j n I y a k a
rAjnayka 1.0	r A j n a y k a
rAjpAla 1.0	r A j p A l a
rAjvIra 1.0	r A j v I r a
rAjxUwa 1.0	r A j x U w a
rAjya 1.0	r A j y a
rAjyake 1.0	r A j y a k e
rAjyapAla 1.0	r A j y a p A l a
rAjyasaBA 1.0	r A j y a s a B A
rAjyo 1.0	r A j y o
rAjyoM 1.0	r A j y o M
rAmAyaNa 1.0	r A m A y a N a
rAma 1.0	r A m a
rAmacaMxra 1.0	r A m a c a M x r a
rAmahi 1.0	r A m a h i
rAmcaMxara 1.0	r A m c a M x a r a
rAmkqRNa 1.0	r A m k q R N a
rAmu 1.0	r A m u
rAnI 1.0	r A n I
rAswA 1.0	r A s w A
rAswe 1.0	r A s w e
rAvalpiMdI 1.0	r A v a l p i M d I
rAvana 1.0	r A v a n a
rAwBara 1.0	r A w B a r a
rAwa 1.0	r A w a
rAya 1.0	r A y a
rAzcI 1.0	r A z c I
rEPalsa 1.0	r E P a l s a
rElI 1.0	r E l I
rElve 1.0	r E l v e
rIwi 1.0	r I w i
rOSanI 1.0	r O S a n I
rOYna 1.0	r O Y n a
rUKa 1.0	r U K a
rUpa 1.0	r U p a
rUsa 1.0	r U s a
ra 1.0	r a
raGubIra 1.0	r a G u b I r a
raGupawi 1.0	r a G u p a w i
raKA 1.0	r a K A
raKI 1.0	r a K I
raKa 1.0	r a K a
raKanA 1.0	r a K a n A
raKane 1.0	r a K a n e
raKawA 1.0	r a K a w A
raKawI 1.0	r a K a w I
raKe 1.0	r a K e
raKeM 1.0	r a K e M
raKegA 1.0	r a K e g A
raKegI 1.0	r a K e g I
raKege 1.0	r a K e g e
raKkara 1.0	r a K k a r a
raKnA 1.0	r a K n A
raKnI 1.0	r a K n I
raKne 1.0	r a K n e
raKwa 1.0	r a K w a
raKwe 1.0	r a K w e
raMgA 1.0	r a M g A
raMgAraMga 1.0	r a M g A r a M g a
raMga 1.0	r a M g a
raMgoM 1.0	r a M g o M
raMgolI 1.0	r a M g o l I
raNa 1.0	r a N a
raNnIwi 1.0	r a N n I w i
raPZI 1.0	r a P Z I
raRtrapawi 1.0	r a R t r a p a w i
raRtriya 1.0	r a R t r i y a
raSIxI 1.0	r a S I x I
raSIxa 1.0	r a S I x a
racA 1.0	r a c A
racI 1.0	r a c I
racanA 1.0	r a c a n A
racanAeM 1.0	r a c a n A e M
racanAoM 1.0	r a c a n A o M
raci 1.0	r a c i
raciwa 1.0	r a c i w a
rahA 1.0	r a h A
rahI 1.0	r a h I
rahIma 1.0	r a h I m a
raha 1.0	r a h a
rahakara 1.0	r a h a k a r a
rahanA 1.0	r a h a n A
rahane 1.0	r a h a n e
rahawA 1.0	r a h a w A
rahawI 1.0	r a h a w I
rahe 1.0	r a h e
raheM 1.0	r a h e M
raheMge 1.0	r a h e M g e
rahegA 1.0	r a h e g A
rahegI 1.0	r a h e g I
rahege 1.0	r a h e g e
rahi 1.0	r a h i
rahnA 1.0	r a h n A
rahnI 1.0	r a h n I
rahne 1.0	r a h n e
rahwe 1.0	r a h w e
rajXAnI 1.0	r a j X A n I
rajya 1.0	r a j y a
rakRA 1.0	r a k R A
rakRAbaMXana 1.0	r a k R A b a M X a n a
rakRAkoSa 1.0	r a k R A k o S a
rakwa 1.0	r a k w a
rakwaxAna 1.0	r a k w a x A n a
rana 1.0	r a n a
rano 1.0	r a n o
ranoM 1.0	r a n o M
rasa 1.0	r a s a
rasaxa 1.0	r a s a x a
raswogI 1.0	r a s w o g I
raswoga 1.0	r a s w o g a
ravAnA 1.0	r a v A n A
ravEyA 1.0	r a v E y A
ravEye 1.0	r a v E y e
ravayye 1.0	r a v a y y e
ravi 1.0	r a v i
ravivAra 1.0	r a v i v A r a
rawa 1.0	r a w a
rayitara 1.0	r a y i t a r a
reKA 1.0	r e K A
reKa 1.0	r e K a
reMja 1.0	r e M j a
redIyo 1.0	r e d I y o
reddI 1.0	r e d d I
rediyo 1.0	r e d i y o
rehnA 1.0	r e h n A
rehrahA 1.0	r e h r a h A
rejImeMta 1.0	r e j I m e M t a
rejImenta 1.0	r e j I m e n t a
rejimEnta 1.0	r e j i m E n t a
rejimeMta 1.0	r e j i m e M t a
rekorda 1.0	r e k o r d a
rela 1.0	r e l a
relo 1.0	r e l o
relve 1.0	r e l v e
remaMda 1.0	r e m a M d a
resIke 1.0	r e s I k e
reta 1.0	r e t a
rewIle 1.0	r e w I l e
riNa 1.0	r i N a
riRi 1.0	r i R i
ridiMga 1.0	r i d i M g a
ridlI 1.0	r i d l I
rija 1.0	r i j a
rijarva 1.0	r i j a r v a
rikArda 1.0	r i k A r d a
rikkI 1.0	r i k k I
rikorda 1.0	r i k o r d a
riktara 1.0	r i k t a r a
rileSansa 1.0	r i l e S a n s a
riporta 1.0	r i p o r t a
riportoM 1.0	r i p o r t o M
ritarna 1.0	r i t a r n a
ritarnsa 1.0	r i t a r n s a
roKe 1.0	r o K e
roKne 1.0	r o K n e
rocaka 1.0	r o c a k a
rogI 1.0	r o g I
rohwaka 1.0	r o h w a k a
rojZa 1.0	r o j Z a
rojZmarA 1.0	r o j Z m a r A
roka 1.0	r o k a
rokane 1.0	r o k a n e
rokne 1.0	r o k n e
romAMcaka 1.0	r o m A M c a k a
romana 1.0	r o m a n a
ropaNa 1.0	r o p a N a
rowaka 1.0	r o w a k a
roweSana 1.0	r o w e S a n a
ruKa 1.0	r u K a
rucI 1.0	r u c I
rucira 1.0	r u c i r a
ruka 1.0	r u k a
rupa 1.0	r u p a
rupayA 1.0	r u p a y A
rupaya 1.0	r u p a y a
rupaye 1.0	r u p a y e
rupye 1.0	r u p y e
rusI 1.0	r u s I
rusa 1.0	r u s a
ruxra 1.0	r u x r a
ruxranAWa 1.0	r u x r a n A W a
sA 1.0	s A
sADZe 1.0	s A D Z e
sADe 1.0	s A D e
sAMGvI 1.0	s A M G v I
sAMdo 1.0	s A M d o
sAMpraxAyika 1.0	s A M p r a x A y i k a
sAMsa 1.0	s A M s a
sAMsaxa 1.0	s A M s a x a
sAMskqwika 1.0	s A M s k q w i k a
sAPa 1.0	s A P a
sAPxeKe 1.0	s A P x e K e
sATa 1.0	s A T a
sAWI 1.0	s A W I
sAWa 1.0	s A W a
sAWasAWa 1.0	s A W a s A W a
sAXAraNa 1.0	s A X A r a N a
sAXana 1.0	s A X a n a
sAbiwa 1.0	s A b i w a
sAdZe 1.0	s A d Z e
sAde 1.0	s A d e
sAgara 1.0	s A g a r a
sAhA 1.0	s A h A
sAhAyawA 1.0	s A h A y a w A
sAhiwya 1.0	s A h i w y a
sAhiwyakAra 1.0	s A h i w y a k A r a
sAhiwyika 1.0	s A h i w y i k a
sAjISeM 1.0	s A j I S e M
sAjexAra 1.0	s A j e x A r a
sAjixa 1.0	s A j i x a
sAju 1.0	s A j u
sAlAnA 1.0	s A l A n A
sAla 1.0	s A l a
sAmAjika 1.0	s A m A j i k a
sAmAna 1.0	s A m A n a
sAmAnya 1.0	s A m A n y a
sAmIla 1.0	s A m I l a
sAmagrI 1.0	s A m a g r I
sAmane 1.0	s A m a n e
sAmila 1.0	s A m i l a
sAmnA 1.0	s A m n A
sAmne 1.0	s A m n e
sAmrAjya 1.0	s A m r A j y a
sAmrIka 1.0	s A m r I k a
sAmrika 1.0	s A m r i k a
sAnuja 1.0	s A n u j a
sAnyAla 1.0	s A n y A l a
sArA 1.0	s A r A
sArI 1.0	s A r I
sAre 1.0	s A r e
sArvjanika 1.0	s A r v j a n i k a
sAsu 1.0	s A s u
sAvXAna 1.0	s A v X A n a
sAvaXAna 1.0	s A v a X A n a
sAvana 1.0	s A v a n a
sAwa 1.0	s A w a
sAxara 1.0	s A x a r a
sAzcA 1.0	s A z c A
sAzce 1.0	s A z c e
sEMkadZo 1.0	s E M k a d Z o
sEla 1.0	s E l a
sEnA 1.0	s E n A
sEnIka 1.0	s E n I k a
sEnika 1.0	s E n i k a
sEniko 1.0	s E n i k o
sEnikoM 1.0	s E n i k o M
sEnya 1.0	s E n y a
sEta 1.0	s E t a
sEto 1.0	s E t o
sI 1.0	s I
sIXA 1.0	s I X A
sIXI 1.0	s I X I
sIXe 1.0	s I X e
sIla 1.0	s I l a
sIlu 1.0	s I l u
sImA 1.0	s I m A
sImAvargI 1.0	s I m A v a r g I
sImAvarwI 1.0	s I m A v a r w I
sImiwa 1.0	s I m i w a
sIta 1.0	s I t a
sItoM 1.0	s I t o M
sIwA 1.0	s I w A
sIyAcina 1.0	s I y A c i n a
sKvadrana 1.0	s K v a d r a n a
sO 1.0	s O
sOBAgya 1.0	s O B A g y a
sOMpA 1.0	s O M p A
sOMpE 1.0	s O M p E
sOMpa 1.0	s O M p a
sOMpe 1.0	s O M p e
sOMxarya 1.0	s O M x a r y a
sOra 1.0	s O r a
sOraBa 1.0	s O r a B a
sOrava 1.0	s O r a v a
sOxe 1.0	s O x e
sU 1.0	s U
sUbexAra 1.0	s U b e x A r a
sUcI 1.0	s U c I
sUcakAMka 1.0	s U c a k A M k a
sUcanA 1.0	s U c a n A
sUcanAyukwa 1.0	s U c a n A y u k w a
sUcnA 1.0	s U c n A
sUpara 1.0	s U p a r a
sUrA 1.0	s U r A
sUrajBAna 1.0	s U r a j B A n a
sUrya 1.0	s U r y a
sUwroM 1.0	s U w r o M
sWAnIya 1.0	s W A n I y a
sWAna 1.0	s W A n a
sWAno 1.0	s W A n o
sWAnoM 1.0	s W A n o M
sWApanA 1.0	s W A p a n A
sWApiwa 1.0	s W A p i w a
sWApnA 1.0	s W A p n A
sWagIwa 1.0	s W a g I w a
sWagiwa 1.0	s W a g i w a
sWala 1.0	s W a l a
sWanoM 1.0	s W a n o M
sWapiwa 1.0	s W a p i w a
sWayi 1.0	s W a y i
sWira 1.0	s W i r a
sWiwI 1.0	s W i w I
sWiwa 1.0	s W i w a
sWiwi 1.0	s W i w i
sWiwiyoM 1.0	s W i w i y o M
saBA 1.0	s a B A
saBI 1.0	s a B I
saByawA 1.0	s a B y a w A
saKA 1.0	s a K A
saKwI 1.0	s a K w I
saM 1.0	s a M
saMBAva 1.0	s a M B A v a
saMBAvnA 1.0	s a M B A v n A
saMBAvnAye 1.0	s a M B A v n A y e
saMBava 1.0	s a M B a v a
saMBu 1.0	s a M B u
saMGa 1.0	s a M G a
saMGaTanA 1.0	s a M G a T a n A
saMGaTana 1.0	s a M G a T a n a
saMGaTano 1.0	s a M G a T a n o
saMGaTanoM 1.0	s a M G a T a n o M
saMGarRa 1.0	s a M G a r R a
saMGarRnA 1.0	s a M G a r R n A
saMGarRpUrNa 1.0	s a M G a r R p U r N a
saMGata 1.0	s a M G a t a
saMGatana 1.0	s a M G a t a n a
saMGatanoM 1.0	s a M G a t a n o M
saMKyA 1.0	s a M K y A
saMKyaka 1.0	s a M K y a k a
saMSoXaM 1.0	s a M S o X a M
saMSoXana 1.0	s a M S o X a n a
saMbAxxAwoM 1.0	s a M b A x x A w o M
saMbaMXI 1.0	s a M b a M X I
saMbaMXa 1.0	s a M b a M X a
saMbaMXiwa 1.0	s a M b a M X i w a
saMbaMXo 1.0	s a M b a M X o
saMbanXI 1.0	s a M b a n X I
saMbanXiwa 1.0	s a M b a n X i w a
saMbanXoM 1.0	s a M b a n X o M
saMbaxXa 1.0	s a M b a x X a
saMboXiwa 1.0	s a M b o X i w a
saMcAlaka 1.0	s a M c A l a k a
saMcAra 1.0	s a M c A r a
saMgIwa 1.0	s a M g I w a
saMgIwakAra 1.0	s a M g I w a k A r a
saMga 1.0	s a M g a
saMgaNaka 1.0	s a M g a N a k a
saMgaTana 1.0	s a M g a T a n a
saMgaTano 1.0	s a M g a T a n o
saMgaTanoM 1.0	s a M g a T a n o M
saMgaTanoneM 1.0	s a M g a T a n o n e M
saMgaTnoM 1.0	s a M g a T n o M
saMgama 1.0	s a M g a m a
saMgara 1.0	s a M g a r a
saMgatana 1.0	s a M g a t a n a
saMgatanoM 1.0	s a M g a t a n o M
saMgatnoM 1.0	s a M g a t n o M
saMgrAma 1.0	s a M g r A m a
saMgra 1.0	s a M g r a
saMgraha 1.0	s a M g r a h a
saMha 1.0	s a M h a
saMjaya 1.0	s a M j a y a
saMkRepa 1.0	s a M k R e p a
saMkRipwa 1.0	s a M k R i p w a
saMkalpa 1.0	s a M k a l p a
saMkata 1.0	s a M k a t a
saMkewa 1.0	s a M k e w a
saMmAna 1.0	s a M m A n a
saMmelana 1.0	s a M m e l a n a
saMnyAsa 1.0	s a M n y A s a
saMpAxana 1.0	s a M p A x a n a
saMpUrNa 1.0	s a M p U r N a
saMparka 1.0	s a M p a r k a
saMrakRaNa 1.0	s a M r a k R a N a
saMsAXana 1.0	s a M s A X a n a
saMsAra 1.0	s a M s A r a
saMsWA 1.0	s a M s W A
saMsWAna 1.0	s a M s W A n a
saMsWAnoM 1.0	s a M s W A n o M
saMsWAoM 1.0	s a M s W A o M
saMsWApaka 1.0	s a M s W A p a k a
saMsaxa 1.0	s a M s a x a
saMsaya 1.0	s a M s a y a
saMskAra 1.0	s a M s k A r a
saMskaraNa 1.0	s a M s k a r a N a
saMskqwa 1.0	s a M s k q w a
saMskqwi 1.0	s a M s k q w i
saMvAxAwA 1.0	s a M v A x A w A
saMvAxxAwA 1.0	s a M v A x x A w A
saMvAxxAwAoM 1.0	s a M v A x x A w A o M
saMvAxxAwAvoM 1.0	s a M v A x x A w A v o M
saMvexI 1.0	s a M v e x I
saMviXAna 1.0	s a M v i X A n a
saMwa 1.0	s a M w a
saMwoSa 1.0	s a M w o S a
saMxarBa 1.0	s a M x a r B a
saMxeSa 1.0	s a M x e S a
saMxehAspaxa 1.0	s a M x e h A s p a x a
saMyama 1.0	s a M y a m a
saMyanwra 1.0	s a M y a n w r a
saMyojaka 1.0	s a M y o j a k a
saMyukwa 1.0	s a M y u k w a
saPAyA 1.0	s a P A y A
saPala 1.0	s a P a l a
saPalawA 1.0	s a P a l a w A
saPalwA 1.0	s a P a l w A
saPalwAyeM 1.0	s a P a l w A y e M
saSakaWa 1.0	s a S a k a W a
saSakwa 1.0	s a S a k w a
saSaswra 1.0	s a S a s w r a
saWI 1.0	s a W I
saXe 1.0	s a X e
sabUwa 1.0	s a b U w a
saba 1.0	s a b a
sabahi 1.0	s a b a h i
sabake 1.0	s a b a k e
sabako 1.0	s a b a k o
sabase 1.0	s a b a s e
sabere 1.0	s a b e r e
sabko 1.0	s a b k o
sabse 1.0	s a b s e
sabxi 1.0	s a b x i
sacIva 1.0	s a c I v a
saca 1.0	s a c a
sacamuca 1.0	s a c a m u c a
sacce 1.0	s a c c e
sacivAlaya 1.0	s a c i v A l a y a
saciva 1.0	s a c i v a
sacivoM 1.0	s a c i v o M
sadZaka 1.0	s a d Z a k a
sadaka 1.0	s a d a k a
sahAnaBUwI 1.0	s a h A n a B U w I
sahArA 1.0	s a h A r A
sahAyaka 1.0	s a h A y a k a
sahAyawA 1.0	s a h A y a w A
sahAywA 1.0	s a h A y w A
sahI 1.0	s a h I
sahIwa 1.0	s a h I w a
sahIxa 1.0	s a h I x a
sahaja 1.0	s a h a j a
sahamawI 1.0	s a h a m a w I
sahamawa 1.0	s a h a m a w a
sahanA 1.0	s a h a n A
sahayawA 1.0	s a h a y a w A
sahayoga 1.0	s a h a y o g a
sahiwa 1.0	s a h i w a
sahmawI 1.0	s a h m a w I
sahmawa 1.0	s a h m a w a
sahyoga 1.0	s a h y o g a
sahyogiyoM 1.0	s a h y o g i y o M
sajA 1.0	s a j A
sajZA 1.0	s a j Z A
sajala 1.0	s a j a l a
sajjAxa 1.0	s a j j A x a
sajjana 1.0	s a j j a n a
sakA 1.0	s a k A
saka 1.0	s a k a
sakai 1.0	s a k a i
sakalYa 1.0	s a k a l Y a
sakala 1.0	s a k a l a
sakawA 1.0	s a k a w A
sakawI 1.0	s a k a w I
sakawe 1.0	s a k a w e
sake 1.0	s a k e
sakegA 1.0	s a k e g A
sakege 1.0	s a k e g e
saklena 1.0	s a k l e n a
sakriya 1.0	s a k r i y a
saktara 1.0	s a k t a r a
sakwA 1.0	s a k w A
sakwI 1.0	s a k w I
sakwe 1.0	s a k w e
salAha 1.0	s a l A h a
salAhkAra 1.0	s a l A h k A r a
salAmI 1.0	s a l A m I
salAxIna 1.0	s a l A x I n a
salahkAra 1.0	s a l a h k A r a
salmAna 1.0	s a l m A n a
samAXAna 1.0	s a m A X A n a
samAcAra 1.0	s a m A c A r a
samAcAro 1.0	s a m A c A r o
samAcara 1.0	s a m A c a r a
samAja 1.0	s a m A j a
samAjvAxI 1.0	s a m A j v A x I
samAna 1.0	s a m A n a
samApwa 1.0	s a m A p w a
samAroha 1.0	s a m A r o h a
samAveSa 1.0	s a m A v e S a
samBAlA 1.0	s a m B A l A
samBAlne 1.0	s a m B A l n e
samBAvanA 1.0	s a m B A v a n A
samBAvnA 1.0	s a m B A v n A
samBava 1.0	s a m B a v a
samBavnA 1.0	s a m B a v n A
samBoxiwa 1.0	s a m B o x i w a
samIkRA 1.0	s a m I k R A
samIkaraNa 1.0	s a m I k a r a N a
samJOMwo 1.0	s a m J O M w o
samJOwA 1.0	s a m J O w A
samJOwe 1.0	s a m J O w e
samJe 1.0	s a m J e
samJowe 1.0	s a m J o w e
samJowo 1.0	s a m J o w o
samUce 1.0	s a m U c e
samUha 1.0	s a m U h a
sama 1.0	s a m a
samaJOwe 1.0	s a m a J O w e
samaJa 1.0	s a m a J a
samaJane 1.0	s a m a J a n e
samaJawe 1.0	s a m a J a w e
samakRa 1.0	s a m a k R a
samaprawa 1.0	s a m a p r a w a
samarWa 1.0	s a m a r W a
samarWaka 1.0	s a m a r W a k a
samarWana 1.0	s a m a r W a n a
samarWiwa 1.0	s a m a r W i w a
samara 1.0	s a m a r a
samarpIwa 1.0	s a m a r p I w a
samarpiwa 1.0	s a m a r p i w a
samaswa 1.0	s a m a s w a
samasyA 1.0	s a m a s y A
samasyAoM 1.0	s a m a s y A o M
samawA 1.0	s a m a w A
samawala 1.0	s a m a w a l a
samawulya 1.0	s a m a w u l y a
samaya 1.0	s a m a y a
sambaMXa 1.0	s a m b a M X a
sambaMXiwa 1.0	s a m b a M X i w a
sambaMXoM 1.0	s a m b a M X o M
sambanXa 1.0	s a m b a n X a
sambanXiwa 1.0	s a m b a n X i w a
samboXIwa 1.0	s a m b o X I w a
samboXiwa 1.0	s a m b o X i w a
samewa 1.0	s a m e w a
samiwI 1.0	s a m i w I
samiwi 1.0	s a m i w i
samjOwA 1.0	s a m j O w A
sammAna 1.0	s a m m A n a
sammelana 1.0	s a m m e l a n a
sammellana 1.0	s a m m e l l a n a
sampAxana 1.0	s a m p A x a n a
sampUrNa 1.0	s a m p U r N a
samparka 1.0	s a m p a r k a
sampawI 1.0	s a m p a w I
sampawa 1.0	s a m p a w a
sampraxAya 1.0	s a m p r a x A y a
samqxXa 1.0	s a m q x X a
samqxXi 1.0	s a m q x X i
samrAta 1.0	s a m r A t a
samuJAvA 1.0	s a m u J A v A
samuJawa 1.0	s a m u J a w a
samuJi 1.0	s a m u J i
samuce 1.0	s a m u c e
samuha 1.0	s a m u h a
samuxAhI 1.0	s a m u x A h I
samuxAya 1.0	s a m u x A y a
samuxrI 1.0	s a m u x r I
samuxra 1.0	s a m u x r a
samvAxAwA 1.0	s a m v A x A w A
samvAxawA 1.0	s a m v A x a w A
samvAxaxA 1.0	s a m v A x a x A
samvAxaxAwA 1.0	s a m v A x a x A w A
samvAxxAwA 1.0	s a m v A x x A w A
samvAxxAwAoM 1.0	s a m v A x x A w A o M
samvAxxAwa 1.0	s a m v A x x A w a
samvaxxAwA 1.0	s a m v a x x A w A
samviXAna 1.0	s a m v i X A n a
sanAwana 1.0	s a n A w a n a
sanGa 1.0	s a n G a
sana 1.0	s a n a
sanmuKa 1.0	s a n m u K a
sanpaWa 1.0	s a n p a W a
sanxeSa 1.0	s a n x e S a
sapaWa 1.0	s a p a W a
sapanehuz 1.0	s a p a n e h u z
saplAI 1.0	s a p l A I
saplAya 1.0	s a p l A y a
saplE 1.0	s a p l E
sapne 1.0	s a p n e
saprema 1.0	s a p r e m a
sapwAha 1.0	s a p w A h a
sapwAhoM 1.0	s a p w A h o M
sarAha 1.0	s a r A h a
sarAhanIya 1.0	s a r A h a n I y a
sarAhnA 1.0	s a r A h n A
sarAsara 1.0	s a r A s a r a
sarAya 1.0	s a r A y a
sara 1.0	s a r a
sarakArI 1.0	s a r a k A r I
sarakAra 1.0	s a r a k A r a
sarala 1.0	s a r a l a
sarasvawI 1.0	s a r a s v a w I
sarba 1.0	s a r b a
sarhanA 1.0	s a r h a n A
sarhaxa 1.0	s a r h a x a
sarisa 1.0	s a r i s a
sariwA 1.0	s a r i w A
sarkArI 1.0	s a r k A r I
sarkAra 1.0	s a r k A r a
saroja 1.0	s a r o j a
sarvAXika 1.0	s a r v A X i k a
sarvIsesa 1.0	s a r v I s e s a
sarva 1.0	s a r v a
sarvaSreRTa 1.0	s a r v a S r e R T a
sarvaWA 1.0	s a r v a W A
sarvanAma 1.0	s a r v a n A m a
sarvapraWama 1.0	s a r v a p r a W a m a
sarvawra 1.0	s a r v a w r a
sarvekRana 1.0	s a r v e k R a n a
sarviseja 1.0	s a r v i s e j a
sarvocca 1.0	s a r v o c c a
sarvowwama 1.0	s a r v o w w a m a
sarwAjZa 1.0	s a r w A j Z a
sarwAja 1.0	s a r w A j a
sarxI 1.0	s a r x I
sarxIyAI 1.0	s a r x I y A I
satorIoM 1.0	s a t o r I o M
satorIyo 1.0	s a t o r I y o
savA 1.0	s a v A
savAla 1.0	s a v A l a
savAlo 1.0	s a v A l o
savAloM 1.0	s a v A l o M
savAra 1.0	s a v A r a
savAya 1.0	s a v A y a
savaca 1.0	s a v a c a
savere 1.0	s a v e r e
sawa 1.0	s a w a
sawarka 1.0	s a w a r k a
sawarkwA 1.0	s a w a r k w A
sawra 1.0	s a w r a
sawrahvI 1.0	s a w r a h v I
sawwAXArI 1.0	s a w w A X A r I
sawwAisa 1.0	s a w w A i s a
sawwa 1.0	s a w w a
sawwaIsa 1.0	s a w w a I s a
sawwara 1.0	s a w w a r a
sawwaraha 1.0	s a w w a r a h a
sawya 1.0	s a w y a
sawyajiwa 1.0	s a w y a j i w a
sawyanArAyaNa 1.0	s a w y a n A r A y a N a
saxA 1.0	s a x A
saxana 1.0	s a x a n a
saxasya 1.0	s a x a s y a
saxasyavAlI 1.0	s a x a s y a v A l I
saxasyoM 1.0	s a x a s y o M
saxiyoM 1.0	s a x i y o M
sayukwa 1.0	s a y u k w a
sazyukwa 1.0	s a z y u k w a
se 1.0	s e
seBI 1.0	s e B I
seMkdZo 1.0	s e M k d Z o
seMnAo 1.0	s e M n A o
seMseksa 1.0	s e M s e k s a
seMtImItara 1.0	s e M t I m I t a r a
sehmawa 1.0	s e h m a w a
sekadoM 1.0	s e k a d o M
sektara 1.0	s e k t a r a
sektaroM 1.0	s e k t a r o M
sektroM 1.0	s e k t r o M
selsIyasa 1.0	s e l s I y a s a
selsiasa 1.0	s e l s i a s a
selsiyasa 1.0	s e l s i y a s a
semI 1.0	s e m I
semIPAInala 1.0	s e m I P A I n a l a
semIPZEnala 1.0	s e m I P Z E n a l a
semIPaInala 1.0	s e m I P a I n a l a
senA 1.0	s e n A
senAe 1.0	s e n A e
senAke 1.0	s e n A k e
senAnI 1.0	s e n A n I
senAne 1.0	s e n A n e
senAniyoM 1.0	s e n A n i y o M
senAo 1.0	s e n A o
senAoM 1.0	s e n A o M
senAye 1.0	s e n A y e
